Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-14,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,6,identification de pièce par marquage,identification de pièce par marquage
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,9,Test électrique Flex 2,Test électrique Flex 2
2025-04-14,Scrap,reglage,A Midi,SIM II,sim 2,SIM,boitier cassé,4,insertion rotule,insertion rotule
2025-04-14,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (1) endommagé,2,soudure fourchette /ICH/ condo,controle aspect soudure
2025-04-14,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,2,soudure fourchette /ICH/ resistance/ condo,controle aspect soudure
2025-04-14,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,9,soudure électrique self sur lame,Controle finale partie B
2025-04-14,Scrap,reglage,A Midi,ligne 2,Preparation CM4,CM4,Boitier endommagée,4,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-14,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,balai bloqué,2,Test force GENIIC,Test force GENIIC
2025-04-14,Scrap,reglage,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure PTH contact negative écrasé,1,soudure électrique contact self 3 OU PTH SELF,soudure électrique contact self 3 OU PTH SELF
2025-04-14,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-14,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,sertissage guides GEN2 C,Test électrique et controle caméra GENII C
2025-04-14,Scrap,process,A Midi,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,guide mal sertie,1,sertissage guides GEN2 C,sertissage guides GEN2 C
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,6,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,"Pont d'étain",6,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,marquage décalé,9,Test électrique Flex 2,Chargement et déchargement boitier sur palette_Flex 2
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Boîtier brûlé,6,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Languette tordue,6,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-14,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,7,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-14,Scrap,defaut,A Midi,ligne 2,Preparation CM4,CM4,Spire dérouler,22,soudure self tresse,montage self/balais sur boitier
2025-04-14,Scrap,defaut,A Midi,ligne 2,Preparation CM4,CM4,Mauvaise soudure self tresse,33,soudure self tresse,montage self/balais sur boitier
2025-04-14,Scrap,defaut,A Midi,ligne 2,Preparation CM4,CM4,Mauvaise soudure self tresse,27,soudure self tresse,controle préparation
2025-04-14,Scrap,process,A Midi,ligne 2,Preparation CM4,CM4,Contact endommagé,2,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-14,Scrap,process,A Midi,10T,T7,Engine Cooling,soudure self écrasé,1,soudure self  (self N°1),soudure self  (self N°1)
2025-04-14,Scrap,formation,A Midi,10T,T7,Engine Cooling,condo écrasé,15,soudure condo sur connecteur,soudure condo sur connecteur
2025-04-14,Scrap,process,A Midi,10T,T7,Engine Cooling,condo écrasé,3,soudure condo sur connecteur,controle finale & conditionnement
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Double marquage,1,Test électrique Flex 2,Test électrique Flex 2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,22,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,2,Sertissage lamme boitier et boutrollage Flex-2,poste de contrôle final Flex 2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,1,Sertissage lamme boitier et boutrollage Flex-2,MEP condo  + Retournement boitier
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,6,soudure électrique self / shunt  sur lame Flex2,MEP condo  + Retournement boitier
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,2,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,6,soudure électrique self / shunt  sur lame Flex2,MEP condo  + Retournement boitier
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,1,Sertissage lamme boitier et boutrollage Flex-2,MEP condo  + Retournement boitier
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,22,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,2,Sertissage lamme boitier et boutrollage Flex-2,poste de contrôle final Flex 2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Double marquage,1,Test électrique Flex 2,Test électrique Flex 2
2025-04-14,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,2,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-14,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,2,soudure électrique balais 2 et self 2,Controle Finale GENII C
2025-04-14,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,sertissage guides GEN2 C,soudure électrique balais 2 et self 2
2025-04-14,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,soudure self terminals,soudure électrique balais 3 et self 3
2025-04-14,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique contact self 3 OU PTH SELF,soudure électrique contact self 3 OU PTH SELF
2025-04-14,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-14,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,6,Test force GENIIC,Test force GENIIC
2025-04-15,Scrap,reglage,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,5,robot  de brasage,robot  de brasage
2025-04-15,Scrap,reglage,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique PTH & PDM,soudure électrique PTH & PDM
2025-04-15,Scrap,reglage,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,contact déformé,3,boutrollage et test électrique et caméra,boutrollage et test électrique et caméra
2025-04-15,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,1,soudure électrique self / shunt  sur lame Flex2,poste de contrôle final Flex 2
2025-04-15,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Lame déformée,1,Assemblage balai / Lame ressort,poste de contrôle final Flex 2
2025-04-15,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,marquage décalé,1,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-15,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,4,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-15,Scrap,process,Matin,PPC FLEX,Flex2,FLEX,Lame mal sertie,1,Sertissage lamme boitier et boutrollage Flex-2,poste de contrôle final Flex 2
2025-04-15,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,16,Insertion de fourchette,Retournement
2025-04-15,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Balais cassé,89,montage self/balais sur boitier,controle préparation
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Marquage décalé,1,Test électrique,Controle finale partie C
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Lame déformée,2,Test électrique,Controle finale partie B
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,1,Test électrique,Controle finale partie B
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,6,soudure électrique self sur lame,Controle finale partie B
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,soudure condo écrasé,2,soudure électrique condo sur lame,Controle finale partie B
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,MEP condo  + Retournement boitier,Controle finale partie C
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,piste oxydée,2,MEP condo  + Retournement boitier,Controle finale partie A ligne F1
2025-04-15,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Self déformée,5,Montage self / lame,Controle finale partie B
2025-04-15,Scrap,reglage,Matin,B8,B8,B8,soudure connecteur éclaté,4,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-15,Scrap,reglage,Matin,B8,B8,B8,connecteur mal plaqué,1,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-15,Scrap,reglage,Matin,B8,B8,B8,condo écrasé,3,soudure condo sur connecteur,soudure condo sur connecteur
2025-04-15,Scrap,process,Matin,503.904,DCK,DCK,Guide écrasée,2,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-15,Scrap,process,Matin,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,2,soudure fourchette /ICH/ resistance/ condo,test electrique
2025-04-15,Scrap,process,Matin,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Boitier endommagé,1,test electrique,test electrique
2025-04-15,Scrap,process,Matin,503.904,DCK,DCK,Guide écrasée,4,précombrage,insertion guide chargé (ressort/balai) dans la palette
2025-04-15,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,languette  tordue,1,Verrouillage self / tresse,Déchargement palette
2025-04-15,Scrap,process,Matin,503.904,DCK,DCK,soudure self connexion1 écrsé,2,soudure self /terminal 2,soudure self /terminal 2
2025-04-15,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,37,Verrouillage self / tresse,Déchargement palette
2025-04-15,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Platine cassé,1,Verrouillage self / tresse,Déchargement palette
2025-04-15,Scrap,process,Matin,SIM II,sim 2,SIM,boitier cassé,9,montage manuelle de s/e,insertion auto de s/e+rotule
2025-04-15,Scrap,process,Matin,SIM II,sim 2,SIM,boitier cassé,4,insertion auto de s/e+rotule,insertion auto de s/e+rotule
2025-04-15,Scrap,process,Matin,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,5,insertion automatique de s/e,insertion automatique de s/e
2025-04-15,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,2,sertissage guides GEN2 C,Controle Finale GENII C
2025-04-15,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,3,Test électrique et controle caméra GENII C,soudure électrique balais 1 et self 1
2025-04-15,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure self contact écrasé,3,soudure électrique contact self 3 OU PTH SELF,soudure électrique contact self 3 OU PTH SELF
2025-04-15,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Mauvaise marquage,1,Test électrique et controle caméra GENII C,Test électrique et controle caméra GENII C
2025-04-15,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,2,soudure étain manuelle,soudure étain manuelle
2025-04-15,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/EMC écrasé,1,Soudure électrique de 2 pattes condo et contact EMC,Controle Finale GENII C
2025-04-15,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,soudure étain manuelle,soudure étain manuelle
2025-04-15,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,marquage double,1,Test électrique,Test électrique
2025-04-15,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,5,Enfonçage de la rotule sur le boîtier,
2025-04-15,Scrap,reglage,A Midi,SIM II,sim 2,SIM,boitier cassé,6,insertion rotule,insertion rotule
2025-04-15,Scrap,reglage,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,6,Boutollage PDM,Mise en place des ressorts
2025-04-15,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,8,identification de pièce par marquage,identification de pièce par marquage
2025-04-15,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,7,Boutollage PDM,
2025-04-15,Scrap,reglage,A Midi,ligne 2,Preparation CM4,CM4,Boitier endommagée,2,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-15,Scrap,reglage,A Midi,ligne 2,Preparation CM4,CM4,Contact endommagé,3,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-15,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,2,Sertissage automatique des pin 2&4,Chargement & déchargement boitier
2025-04-15,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,PDM endommagé,6,Pré-insertion des inserts PDM,controle préparation
2025-04-15,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (3) endommagé,1,soudure fourchette /ICHall/ resistance,controle finale
2025-04-15,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,2,soudure fourchette /ICH/ resistance/ condo,controle finale
2025-04-15,Scrap,process,A Midi,CM4-ligne 2,CM3-CM4 Ligne 2,CM4,Marquage non conforme,2,controle vision,controle finale
2025-04-15,Scrap,process,A Midi,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,Fil débobiné,5,BUA controle vision,BUA Soudure étain des terminals
2025-04-15,Scrap,process,A Midi,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,"Exés d'étain sur fil",6,BUA controle vision,BUA Soudure étain des terminals
2025-04-15,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Marquage décalé,5,Test électrique,Chargement - déchargement boitiersur palette
2025-04-15,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,9,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-15,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,5,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-15,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Lame déformée,8,Test électrique,Test électrique
2025-04-15,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,2,Test électrique,Chargement - déchargement boitiersur palette
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,10,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvaise  marquage,8,Test électrique Flex 2,Test électrique Flex 2
2025-04-15,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,Test électrique,Test électrique
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Boîtier cassé,6,soudure électrique self / shunt  sur lame Flex2,soudure électrique self / shunt  sur lame Flex2
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,6,Sertissage lamme boitier et boutrollage Flex-2,Mise en place self / shunt Flex-2
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,marquage décalé,5,Test électrique Flex 2,Test électrique Flex 2
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Boîtier brûlé,2,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Soudure self éclaté,4,MEP condo  + PTH + Retournement boitier Flex 2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-15,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,connecteur mal enclipsé,1,Poste de pose connecteur et pliage bornes,Poste de pose connecteur et pliage bornes
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,Languette tordue,5,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-15,Scrap,process,A Midi,PPC FLEX,Flex2,FLEX,"Pont d'étain",6,"Soudure à l'étain Flex 2","Soudure à l'étain Flex 2"
2025-04-15,Scrap,process,A Midi,T7,T7,Engine Cooling,soudure self écrasé,2,soudure self N°2,soudure self N°2
2025-04-15,Scrap,reglage,A Midi,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,4,poste de montage reteneur,poste de montage reteneur
2025-04-15,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-15,Scrap,process,A Midi,B8,B8,B8,Platine cassé,1,soudure self N°1,soudure self N°1
2025-04-15,Scrap,process,A Midi,10T,T7,Engine Cooling,Platine cassé,3,déschuntage platine,déschuntage platine
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,5,soudure self terminals,soudure self terminals
2025-04-15,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,1,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,3,Test force GENIIC,Test force GENIIC
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,64,Test électrique et controle caméra GENII C,Test électrique et controle caméra GENII C
2025-04-15,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,5,soudure self terminals,soudure self terminals
2025-04-15,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,1,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,3,Test force GENIIC,Test force GENIIC
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,64,Test électrique et controle caméra GENII C,Test électrique et controle caméra GENII C
2025-04-15,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,5,soudure self terminals,soudure self terminals
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,2,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-15,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,1,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-15,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,3,Test force GENIIC,Test force GENIIC
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,64,Test électrique et controle caméra GENII C,Test électrique et controle caméra GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,5,soudure self terminals,soudure self terminals
2025-04-15,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure condo/terminaux décalé,1,soudure électrique condo 1 & terminal 1,Controle Finale GENII C
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,3,Test force GENIIC,Test force GENIIC
2025-04-15,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,condo mal plaqué,64,Test électrique et controle caméra GENII C,Test électrique et controle caméra GENII C
2025-04-16,Scrap,reglage,Matin,11TA,11TA1,Engine Cooling,soudure self éclaté,2,soudure self N°1,soudure self N°1
2025-04-16,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure contact / PTH décalé,2,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact",Controle final et emballage
2025-04-16,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Contact moteur déformé,1,Test électrique,Controle final et emballage
2025-04-16,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Marquage illisible,2,Test électrique,Test électrique
2025-04-16,Scrap,reglage,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,bakélite cassé,2,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-16,Scrap,reglage,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique PTH & PDM,soudure électrique PTH & PDM
2025-04-16,Scrap,reglage,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,contact déformé,4,CF,montage composants sur convoyeur
2025-04-16,Scrap,reglage,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure tresse/self M1,soudure tresse/self M1
2025-04-16,Scrap,reglage,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,7,robot  de brasage,robot  de brasage
2025-04-16,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (2) endommagé,4,Soudure fourchette 2 CM3,poste test électrique
2025-04-16,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,48,Verrouillage self / tresse,Déchargement palette
2025-04-16,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,fourchette self endommagée,7,Soudure self-fourchette CM3,Poste montage+controle caméra PCB
2025-04-16,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Mauvaise soudure self/contact,12,Soudure self-contact / PTH-contact,Poste montage+controle caméra PCB
2025-04-16,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,PDM endommagée,2,Soudure étain,contrôle soudure étain
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,soudure condo écrasé,1,soudure électrique condo sur lame,Montage self / lame
2025-04-16,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Mauvaise soudure tresse,21,soudure self tresse,controle préparation
2025-04-16,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Balais cassé,44,montage self/balais sur boitier,controle préparation
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Balai mal serti,115,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Balai cassé,12,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,2,soudure électrique self sur lame,Controle finale partie B
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,3,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Marquage décalé,3,Test électrique,Test électrique
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,1,Boutrollage condo axial,soudure électrique self sur lame
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,4,Test électrique,Test électrique
2025-04-16,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,Chargement - déchargement boitiersur palette,"Soudure à l'étain"
2025-04-16,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Boîtier cassé,10,Boutrollage condo axial-Flex 2,Controle finale Flex 2 partie B
2025-04-16,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,3,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-16,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,6,soudure électrique self / shunt  sur lame Flex2,Controle finale Flex 2 partie B
2025-04-16,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Lame mal sertie,1,Sertissage lamme boitier et boutrollage Flex-2,Controle soudure condo axiale et boutrollage
2025-04-16,Scrap,reglage,Matin,PPC FLEX 2,Flex2,FLEX,soudure condo écrasé,7,Boutrollage condo axial-Flex 2,Controle soudure condo axiale et boutrollage
2025-04-16,Scrap,reglage,Matin,B8,B8,B8,soudure connecteur éclaté,2,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-16,Scrap,reglage,Matin,B8,B8,B8,condo écrasé,1,soudure condo sur platine,soudure condo sur platine
2025-04-16,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,2,sertissage guides GEN2 C,Test électrique et controle caméra GENII C
2025-04-16,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,15,insertion rotule,insertion rotule
2025-04-16,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,1,soudure étain manuelle,soudure étain manuelle
