id;name;email;headquarters_location;r_and_d_location;country;product;employeestrength;revenues;telephone;website;productionvolumes;keycustomers;region;foundingyear;keymanagement;rate;offeringproducts;customerneeds;technologyuse;competitiveadvantage;challenges;recentnews;strategicpartenrship;comments;businessstrategies;revenue;ebit;operatingcashflow;investingcashflow;freecashflow;roce;equityratio;employeesperregion;pricingstrategy;productlaunch;ceo;cfo;cto;rdhead;saleshead;productionhead;keydecisionmarker;financialyear
110;Pulse Electronics;;USA;USA;USA;Choke;;;;http://www.pulseelectronics.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Vishay;;India;India;India;Choke;;;;Common Mode Chokes | Inductors | Vishay;;;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Prax;;Spain;Spain;Spain;Choke;;;;Common mode chokes - Prax Power (prax-power.com);;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Delta Electronics;;China;China;China;Choke;;;;Products - Components - Delta (deltaww.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;KEMET;;US;US;USA;Choke;;;;https://www.kemet.com/en/us.html;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;CECLA ;;France;France;France;Choke;;;;https://www.ceclaindustrie.fr/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;TPE GROUP;;Europe;;Europe;Choke;;;;https://tpe.group/fr/home-2/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;TALEMA GROUP;;;;France;Choke;;;;https://talema.com/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Kaco;;Germany;Germany;Germany;Seals;;;;Dynamic seals - KACO - Der Experte fur Dichtungssysteme;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Fangli;;China;China;China;Seals;;;;Ningbo Fangli Seals Co., Ltd. (sealsworld.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Hongchen;;China;China;China;Seals;;;;Home-Longshen Seal Manufacture (W.H) Co.,Ltd-Longshen Seal Manufacture (W.H) Co.,Ltd (ls-seal.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Burgmann;;France;France;France;Seals;;;;www.eagleburgmann.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Lidering;;France;France;France;Seals;;;;www.lidering.com/fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;John Crane;;Chicago, Illinois, USA;;USA;Seals;;;;www.johncrane.com;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;MTU;;Friedrichshafen, Germany;;Germany;Seals;;;;www.meccanotecnicaumbra.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Latty;;Lyon, France;;France;Seals;;;;www.latty.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;Aeseal;;Sheffield, United Kingdom;;United Kingdom;Seals;;;;www.aesseal.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Roten;;Germany (specific city not provided);;Germany;Seals;;;;www.roten.it;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Chesterton;;Groveland, Massachusetts, USA;;USA;Seals;;;;www.chesterton.com;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;Vulcan;;Birmingham, Alabama, USA;;USA;Seals;;;;www.vulcan-eng.com;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Emi France;;France ;;France ;Seals;;;;www.emifrance.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Etamec;;France ;;France ;Seals;;;;www.etamec.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Kroma;;Germany ;;Germany ;Seals;;;;www.kroma.co.rs;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Trisun;;Shanghai, China;;China;Seals;;;;www.trisunltd.com;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Kaco;;Neckarsulm, Germany;;Germany;Seals;;;;http://www.kaco.de;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Kylin;;No. 7 Mingshu Road, Jiangshan Town, Ningbo, Zhejiang, China, 315191;;China;Seals;;;;http://www.kyseals.com/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Avon;;Lakewood, Ohio, USA;;USA;Seals;;;;http://www.avonseals.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Garlock;;Palmyra, New York, USA;;USA;Seals;;;;www.garlock.com;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;MSG;;Germany;;Germany;Seals;;;;http://mechanical-seals-germany.com/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Atec;;France;;France;Seals;;;;www.atecfrance.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;TOYO TANSO;NA;???, Osaka, Japan;555-0011, ????, ???, Osaka, Japan;Japan;Brush;1736;6.5;+81 6-6472-5842;https://www.toyotanso.com/Products/Electrical_carbon/;NA;NA;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;MTU;;IT;IT;Italy;Seals;;;;Mechanical seals for pumps | Meccanotecnica Umbra;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;FASTRON GROUP;;Germany;Germany;Germany;Choke;;;;https://www.fastrongroup.com/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;AVISOR;;Spain;Spain;Spain;Choke;;;;https://www.avisor.es/en/home/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Sangshin Electronics;;Korea Kimhae;Korea Kimhae, Anyang;Korea, South;Choke;118;81.2592592592593;;http://www.sangshin-e.com/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Coilcraft;;;USA;USA;Choke;;;;https://www.coilcraft.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Schaffner;;Germany;Germany;Germany;Choke;;;;Common and Differential Mode Chokes | Schaffner Holding AG;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Bourns;;Riverside, CA 92507-2129, USA;USA;USA;Choke;;;;https://www.bourns.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;Tokyo Parts;;Japan;Japan;Japan;Choke;;;;https://www.tokyoparts.co.jp/eng/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;EKK ;;Japan;Japan;Japan;Seals;;;;EKK | Automotive sealing and control solution provider (ekk-europe.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Hitachi;;;Japan;Japan;Choke;;;;https://www.hitachi-hightech.com/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Rossoni;;;HongKong;HongKong;Choke;;;;https://erhk.hk/en/;;;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Morgan;;UK;;Korea;Friction;216;54.8898962962963;+82 31 735 5100;http://morgankorea.co.kr/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;Okhae Electronics;okhaecokr@naver.com;Korea Gumi;Korea Gumi;Korea;Choke;44;8.35293333333333;+82 54 453 5001;http://www.okhae.co.kr/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Suzhou Doneka;;Suzhou ;Suzhou ;China;Assembly;150;22;0086512-8161-1159;http://www.doneka.com.cn/;;Shenghuabo ;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
